ac: align-content
ai: align-items
as: align-self
a: all
a: animation
ad: animation-delay
ad: animation-direction
ad: animation-duration
afm: animation-fill-mode
aic: animation-iteration-count
an: animation-name
aps: animation-play-state
atf: animation-timing-function
bv: backface-visibility
b: background
ba: background-attachment
bbm: background-blend-mode
bc: background-clip
bc: background-color
bi: background-image
bo: background-origin
bp: background-position
br: background-repeat
bs: background-size
b: border
bb: border-bottom
bbc: border-bottom-color
bblr: border-bottom-left-radius
bbrr: border-bottom-right-radius
bbs: border-bottom-style
bbw: border-bottom-width
bc: border-collapse
bc: border-color
bi: border-image
bio: border-image-outset
bir: border-image-repeat
bis: border-image-slice
bis: border-image-source
biw: border-image-width
bl: border-left
blc: border-left-color
bls: border-left-style
blw: border-left-width
br: border-radius
br: border-right
brc: border-right-color
brs: border-right-style
brw: border-right-width
bs: border-spacing
bs: border-style
bt: border-top
btc: border-top-color
btlr: border-top-left-radius
btrr: border-top-right-radius
bts: border-top-style
btw: border-top-width
bw: border-width
b: bottom
bdb: box-decoration-break
bs: box-shadow
bs: box-sizing
ba: break-after
bb: break-before
bi: break-inside
cs: caption-side
cc: caret-color
-c: @charset
c: clear
c: clip
cp: clip-path
c: color
cc: column-count
cf: column-fill
cg: column-gap
cr: column-rule
crc: column-rule-color
crs: column-rule-style
crw: column-rule-width
cs: column-span
cw: column-width
c: columns
c: content
ci: counter-increment
cr: counter-reset
c: cursor
d: direction
d: display
ec: empty-cells
f: filter
f: flex
fb: flex-basis
fd: flex-direction
ff: flex-flow
fg: flex-grow
fs: flex-shrink
fw: flex-wrap
f: float
f: font
-ff: @font-face
ff: font-family
ffs: font-feature-settings
fk: font-kerning
fs: font-size
fsa: font-size-adjust
fs: font-stretch
fs: font-style
fv: font-variant
fvc: font-variant-caps
fw: font-weight
g: grid
ga: grid-area
gac: grid-auto-columns
gaf: grid-auto-flow
gar: grid-auto-rows
gc: grid-column
gce: grid-column-end
gcg: grid-column-gap
gcs: grid-column-start
gg: grid-gap
gr: grid-row
gre: grid-row-end
grg: grid-row-gap
grs: grid-row-start
gt: grid-template
gta: grid-template-areas
gtc: grid-template-columns
gtr: grid-template-rows
hp: hanging-punctuation
h: height
h: hyphens
-i: @import
i: isolation
jc: justify-content
-k: @keyframes
l: left
ls: letter-spacing
lh: line-height
ls: list-style
lsi: list-style-image
lsp: list-style-position
lst: list-style-type
m: margin
mb: margin-bottom
ml: margin-left
mr: margin-right
mt: margin-top
mh: max-height
mw: max-width
-m: @media
mh: min-height
mw: min-width
mbm: mix-blend-mode
of: object-fit
op: object-position
o: opacity
o: order
o: outline
oc: outline-color
oo: outline-offset
os: outline-style
ow: outline-width
o: overflow
o-x: overflow-x
o-y: overflow-y
p: padding
pb: padding-bottom
pl: padding-left
pr: padding-right
pt: padding-top
pba: page-break-after
pbb: page-break-before
pbi: page-break-inside
p: perspective
po: perspective-origin
pe: pointer-events
p: position
q: quotes
r: resize
r: right
sb: scroll-behavior
ts: tab-size
tl: table-layout
ta: text-align
tal: text-align-last
td: text-decoration
tdc: text-decoration-color
tdl: text-decoration-line
tds: text-decoration-style
ti: text-indent
tj: text-justify
to: text-overflow
ts: text-shadow
tt: text-transform
t: top
t: transform
to: transform-origin
ts: transform-style
t: transition
td: transition-delay
td: transition-duration
tp: transition-property
ttf: transition-timing-function
ub: unicode-bidi
us: user-select
va: vertical-align
v: visibility
ws: white-space
w: width
wb: word-break
ws: word-spacing
ww: word-wrap
wm: writing-mode
zi: z-index
